Batch_ID,Time,Flour (kg),Sugar (kg),Yeast (kg),Water Temp (C),Salt (kg),Mixer Speed (RPM),Mixing Temp (C),Fermentation Temp (C),Oven Temp (C),Oven Humidity (%)
1,21,9.773506,5.149875,2.006458,25.928717,1.033757,167.264313,37.121446,36.945099,179.787376,43.836539
1,22,10.429455,5.155461,2.10923,26.069842,0.989533,166.838549,36.171384,36.791067,180.174325,46.076291
1,23,10.150068,5.283292,1.966748,26.148355,1.000457,166.359884,38.152044,36.931431,180.021451,43.466832
1,24,10.202853,4.783726,1.994886,25.966342,0.997191,163.272124,37.502747,37.28403,178.866304,45.489833
1,25,10.607781,5.092383,2.151292,25.303778,0.943542,162.073366,37.77023,36.790031,180.771705,47.851349
1,26,9.746632,4.808298,1.855316,26.117266,0.938886,161.518589,37.162528,36.977445,181.995459,46.447606
1,27,9.845819,5.378456,1.977504,26.229921,1.008227,160.274716,37.025026,37.253091,181.095174,44.802154
1,28,9.949322,4.822577,2.062414,26.076036,0.980187,157.564798,39.206297,36.88918,180.491451,45.226741
1,29,9.63624,5.181178,2.095483,26.562992,1.020272,156.492439,38.295959,36.758581,180.499206,45.267201
1,30,10.139691,4.767279,2.0384,26.473052,0.941148,154.172232,37.230643,36.721612,180.878123,45.04908
1,31,10.206932,5.0719,1.901795,26.938448,0.939842,152.210087,37.81257,36.883767,180.433687,46.338336
1,32,10.21367,4.934145,2.114027,26.50279,1.065505,148.135198,38.402079,37.165012,179.534676,42.866617
1,33,9.853286,5.160285,1.826988,26.4295,0.981379,147.646945,38.857983,36.965135,179.316301,45.28902
1,34,10.12098,5.170667,1.876231,26.574502,1.040498,147.785257,38.236914,36.84644,180.131423,44.494226
1,35,9.782832,4.980141,2.039211,26.617282,1.006552,144.05012,38.169922,37.250816,178.652898,46.637618
1,36,10.167664,5.173377,1.994537,26.356195,0.999011,141.324248,39.087271,37.038509,180.33241,46.087062
1,37,9.818427,5.630511,2.031951,26.580831,0.943909,140.522959,38.456396,36.799477,178.421945,44.732714
1,38,10.10167,4.750058,1.882213,26.588224,0.959292,137.445858,39.051923,37.149966,178.910584,45.38528
1,39,9.910378,4.561403,1.829967,26.746887,0.883825,137.061616,38.654756,37.411851,180.168227,45.083202
1,40,9.200145,5.067096,2.191608,26.814877,0.933546,135.248335,38.885048,36.790036,179.651179,45.615132
1,41,10.267819,5.06697,1.936958,26.907305,1.0575,133.869122,38.888209,36.926714,180.477625,44.985659
1,42,9.835035,5.106168,1.999571,27.133914,0.84693,133.725713,37.910894,36.847605,180.055808,44.565505
1,43,10.224689,4.900762,2.046788,26.560884,1.023714,132.612489,38.931896,37.042381,179.209194,45.137594
1,44,10.022847,4.534274,1.854833,27.582616,0.944249,132.322209,39.445042,36.943198,179.697235,44.991723
1,45,9.724667,5.043423,1.829137,26.931372,1.059733,130.79155,39.25527,36.740537,179.935699,45.650187
1,46,9.679524,5.194435,1.968016,27.248648,1.009534,131.154032,39.650802,37.142399,179.995644,46.14664
1,47,9.62833,4.968059,2.011672,27.09466,0.941098,131.22357,40.05029,36.743983,180.90653,44.444217
1,48,9.53517,5.196849,2.065537,26.991406,1.014799,130.863483,40.405751,37.058152,179.468689,43.787959
1,49,10.273119,5.203944,2.138839,27.87617,1.049791,130.896168,38.971271,36.96892,180.429367,44.330722
1,50,10.024692,4.923662,1.969227,27.05894,0.939867,131.839342,41.283024,37.040063,180.690841,44.996066
1,51,10.168123,5.119944,1.937595,27.039358,0.876089,132.3317,40.550542,36.981772,182.231185,43.711823
1,52,9.924946,4.907151,2.039384,27.804261,0.984045,133.475684,40.852974,37.125263,180.644954,45.1368
1,53,9.857833,5.190629,2.080982,27.925609,0.985246,134.573264,40.910983,36.787885,179.312196,45.1619
1,54,10.410287,4.716792,1.839035,27.648262,1.050623,135.511305,40.798865,36.997596,177.683415,45.653511
1,55,10.029525,5.047424,2.168565,28.486083,1.049477,135.816977,40.47358,37.319924,180.760967,45.390073
1,56,10.11092,4.734423,2.010488,27.635811,1.102203,137.123146,40.778772,37.086311,179.995075,44.414318
1,57,9.870858,4.932986,1.873091,27.983031,0.956219,139.984958,39.977705,36.812485,179.692546,45.333647
1,58,10.374261,4.792747,1.91108,27.814817,1.027572,141.86257,41.076687,37.452352,178.733888,44.687366
1,59,10.414776,4.892661,2.152082,27.5266,0.897876,141.877009,41.14329,37.06034,179.80142,44.900813
2,0,10.057784,5.213664,2.047864,24.947861,1.004308,150.01858,35.326964,37.219821,181.2582,44.351594
2,1,9.987039,4.823334,2.032129,25.01474,1.062611,149.737599,34.264191,37.248475,182.404131,45.01258
2,2,9.932974,4.887949,1.896844,24.979592,0.986379,153.679908,35.647679,37.123007,179.712948,45.409723
2,3,9.392056,4.739368,2.00371,25.257963,0.94048,154.284393,35.370353,36.774503,181.48648,44.137909
2,4,9.564408,4.620621,2.042146,25.477222,0.91962,157.101187,38.03762,36.77266,179.479065,44.388973
2,5,10.490221,5.010888,1.949153,25.565333,0.980432,158.934723,36.068459,36.890335,179.608815,45.206249
2,6,10.141959,5.079754,2.214819,25.628142,1.002103,158.699942,35.084676,37.165354,180.632382,44.580298
2,7,10.243046,5.183311,2.057496,25.187755,0.980683,162.052449,35.548856,37.135348,180.097083,45.336159
2,8,9.971365,4.820788,1.934244,25.070799,0.961276,163.111625,36.226826,36.931886,179.680167,44.930223
2,9,9.642307,4.779342,2.123113,25.910031,0.889135,164.110874,34.759517,37.038746,180.981007,46.49202
2,10,10.156742,5.077086,1.80242,25.461718,0.96236,166.34186,36.065147,37.030304,180.294673,44.46203
2,11,10.26219,5.204229,1.98882,25.165323,0.984467,168.545765,36.196145,36.831508,178.923732,45.62817
2,12,9.543583,5.20487,2.002576,25.608708,1.025364,166.506439,36.006106,37.058803,180.565276,45.163794
2,13,9.97328,5.214994,1.917278,25.410246,1.064452,168.257422,35.573296,37.15359,180.131193,44.064648
2,14,9.835359,4.885429,2.064799,24.993947,0.886824,167.809947,35.288777,37.264672,180.056762,45.331914
2,15,10.029823,5.179163,1.97567,26.33855,0.956073,170.306688,35.889329,36.883054,179.949126,45.13668
2,16,10.237926,5.307566,2.157928,25.820706,1.014717,169.32685,36.377019,37.104094,178.729654,46.092125
2,17,9.805188,5.18794,1.862855,25.759948,1.015937,169.965491,36.879135,37.550403,179.315035,43.628163
2,18,10.162178,4.901773,2.140084,25.620939,0.980869,167.638794,36.137705,37.207652,180.742549,43.713764
2,19,9.77314,4.992577,2.094688,25.539779,0.951554,167.853423,36.891804,37.133959,180.353818,46.524643
2,20,10.058283,5.161424,2.163387,25.895812,0.996348,167.539948,36.774378,36.802524,179.988967,45.113097
2,21,9.841009,4.740469,2.003189,25.692686,0.993232,167.861013,37.313218,36.972084,177.980596,45.933437
2,22,9.697934,4.994509,2.173479,25.697533,0.981091,164.625667,37.668474,37.149301,177.490462,43.361471
2,23,9.824444,5.396796,2.026242,26.760022,0.936097,162.594073,36.878099,37.158811,181.004258,44.513483
2,24,10.144756,4.574307,2.201013,26.28899,1.038582,163.740111,37.685173,36.886799,180.463779,45.497736
2,25,9.958254,5.060191,2.113397,25.791496,1.005817,159.453219,37.345104,36.933221,180.370468,47.406457
2,26,9.889841,5.447244,2.139116,26.470295,0.955052,159.325856,37.096735,37.168938,179.710768,46.292848
2,27,9.867762,5.107498,1.995381,26.116816,1.028405,158.451731,36.947713,36.714371,177.899465,46.455872
2,28,9.96576,4.968735,2.222535,27.089406,0.877046,155.674045,37.231839,37.246017,180.445812,43.612827
2,29,9.967513,5.186949,1.89073,26.495013,1.010865,154.593879,38.49676,36.548063,179.898117,45.408037
2,30,10.428351,5.15411,1.935833,26.774191,0.887384,153.604577,38.269476,36.742334,180.043172,45.445586
2,31,10.238037,5.103383,1.933979,26.646169,0.936753,150.184817,39.304804,37.132523,180.124232,43.001613
2,32,9.742173,4.922577,1.963208,26.141024,1.015687,148.277263,38.508618,37.061405,180.901409,43.382924
2,33,10.055151,4.910317,1.978855,26.622247,1.030022,145.424911,38.186329,37.131866,180.518976,45.589618
2,34,10.256079,4.806947,2.008192,26.561334,0.97171,143.736152,38.797247,36.848091,181.161968,45.031847
2,35,10.135226,4.858891,1.963092,26.368579,1.067686,142.991246,38.79989,36.978698,179.997399,44.618137
2,36,9.944529,4.941517,1.828541,27.178718,1.025755,139.980394,39.027066,37.155519,180.925279,45.547431
2,37,10.102613,5.133514,2.080322,27.287035,1.024347,137.964025,37.556997,36.880656,179.825524,45.079703
2,38,10.064877,4.741897,1.844744,27.243167,0.91572,136.176725,39.167108,36.95399,181.871409,46.285333
2,39,9.870971,4.662426,2.063935,27.124939,0.941254,136.300925,38.744793,37.026901,181.293092,44.779049
2,40,10.135518,5.023737,1.861929,27.133884,0.914773,135.230707,39.837637,36.948932,179.099782,45.689298
2,41,10.073206,5.302266,1.866672,26.66426,0.975485,134.001571,38.676191,37.006091,179.931874,44.621096
2,42,10.056359,4.658223,2.079975,27.091898,0.990829,132.408812,39.00022,36.963661,180.901397,45.027428
2,43,9.965815,5.091814,2.170901,27.069561,1.022676,129.565045,38.843339,37.07886,180.41108,45.81492
2,44,9.914152,4.968825,2.005782,27.312089,1.011784,131.51475,40.08476,36.775558,180.254465,46.864559
2,45,10.048677,5.112451,2.029869,26.916021,1.006725,129.310644,39.512838,36.826553,181.75839,44.720965
2,46,10.332133,4.775076,1.913888,27.079264,0.955093,128.682288,40.20195,37.152481,179.512469,44.593891
2,47,9.761237,5.139569,2.168985,27.638993,0.979943,129.406404,39.95491,37.369613,181.315018,45.350392
2,48,10.239777,5.039563,1.902122,28.041876,1.018266,128.459542,41.076533,37.099023,178.914603,44.715453
2,49,9.76343,4.98381,2.074345,27.946665,1.034051,129.326115,40.179187,37.117707,180.863927,43.491975
2,50,9.701868,4.989725,2.086568,27.478994,1.007775,129.732883,39.1869,36.737956,180.000303,45.06934
2,51,9.574528,5.028342,1.891693,27.566549,1.012293,131.196015,40.045729,36.77514,178.400374,45.078388
2,52,9.574465,4.960758,1.959857,27.745681,1.042389,131.632475,39.256826,36.699674,179.959596,44.483709
2,53,9.864133,4.981794,1.943469,27.270664,0.970067,132.035596,39.609332,37.024905,181.901298,44.955686
2,54,9.887769,5.004783,1.959805,27.473696,0.9464,132.060694,41.050624,36.999338,180.119028,46.575296
2,55,10.274196,4.776448,1.938847,27.823236,1.014156,133.967151,40.442008,36.922443,180.316857,43.772878
2,56,9.637385,4.964094,2.085484,27.145107,1.060928,135.987623,40.484184,37.150098,179.445797,45.308197
2,57,9.790789,4.908432,1.912243,27.400052,0.954465,137.432702,40.972513,36.840169,180.549436,43.522223
2,58,9.898237,5.27636,1.945001,27.962724,0.983197,141.612322,38.906945,37.015758,179.165554,44.935057
2,59,9.786918,5.055973,2.024359,27.908366,0.96052,140.232216,40.148748,37.100197,179.19222,46.335654
3,0,10.245727,5.391161,2.044184,25.039874,0.986208,150.92049,35.409018,37.169502,180.039821,44.93179
3,1,10.335228,4.941547,1.993212,24.745611,1.048367,152.784937,35.176127,37.012919,180.153669,44.930336
3,2,10.328606,5.005608,1.97263,25.591859,1.024968,155.009386,34.478668,37.19454,180.152965,45.571958
3,3,10.2894,5.133308,2.053216,25.369833,0.943997,158.847705,35.18813,37.215185,178.83357,45.427097
3,4,10.506677,4.891557,1.976087,25.433402,1.021079,158.192842,35.363901,36.972863,179.841227,44.163067
3,5,9.452606,5.368922,2.140752,25.268895,0.989136,160.186178,34.980624,37.107819,180.851147,46.243508
3,6,10.340333,5.216562,2.024225,25.324104,0.96674,161.777679,35.693797,37.115765,179.221316,44.219623
3,7,10.089078,4.935,2.005935,26.00393,0.991102,164.416903,34.301464,37.253831,179.346336,46.166418
3,8,9.873789,5.351027,2.056053,25.059489,0.936572,165.951133,34.647715,36.985665,178.5943,42.730778
3,9,9.764698,4.926738,2.01575,25.339781,1.077187,167.182375,35.077805,36.822317,179.805742,46.44854
3,10,10.014867,5.020417,1.951767,25.577711,1.057155,168.274189,35.799458,37.167627,178.990991,45.814656
3,11,10.053042,5.207988,2.059313,25.41201,0.970227,168.720678,35.292055,36.98425,179.302009,46.384454
3,12,9.824347,4.838354,1.918072,25.697553,1.021533,170.587258,35.927373,36.758838,180.337998,44.352226
3,13,9.994071,5.140559,1.918708,25.740649,0.979931,168.63877,36.126141,36.880117,179.249318,44.085615
3,14,9.966387,5.188927,1.882859,25.839947,1.020353,172.303342,37.29963,36.957814,178.669044,44.743412
3,15,10.814152,5.684463,2.001634,25.053934,0.99273,169.532284,35.898792,36.995721,179.303392,47.266411
3,16,10.396411,5.034501,2.11356,25.835088,0.98463,171.219594,37.017022,37.206872,179.002682,45.091091
3,17,10.250539,4.740679,2.007769,25.588233,1.045358,170.439165,35.875109,37.12388,179.751017,45.159305
3,18,10.109757,4.780316,1.993552,25.794951,1.051427,171.25803,36.786378,37.220481,180.225131,44.61424
3,19,10.087964,5.177633,1.926889,25.672094,1.059263,169.506268,36.380462,36.729926,178.719288,45.002116
3,20,9.87663,4.914289,2.080705,25.609688,0.976769,170.064623,37.67427,36.822163,180.195503,44.835013
3,21,10.174913,4.860123,2.212673,25.998372,0.96179,168.274454,36.760927,37.154969,178.611978,45.282343
3,22,10.442824,5.146853,2.079725,25.686043,1.053451,165.606094,36.985335,36.932331,180.140668,44.215467
3,23,10.204558,4.842499,2.004804,26.592063,0.919138,166.510749,36.965083,37.090341,181.044338,43.268611
3,24,10.09611,4.955693,1.983255,26.470008,1.022488,163.609297,37.335082,36.909901,179.293368,46.643251
3,25,10.481308,4.824351,2.105173,26.651783,1.019462,162.676525,36.729062,37.104025,179.291264,45.876513
3,26,9.81759,5.082394,2.042194,26.289373,1.034977,161.23131,37.395354,36.622624,180.345532,46.64878
3,27,8.466268,5.108018,1.895377,27.122882,0.97868,159.042366,36.503064,36.603803,179.914987,45.340408
3,28,9.883701,4.957676,1.977573,26.529885,1.028716,157.578038,37.702922,36.838391,177.417883,46.95055
3,29,10.034083,4.845587,2.05934,26.996425,1.03503,156.155778,37.262439,37.39193,180.835577,44.575411
3,30,9.970644,4.928322,1.853817,26.601747,0.950483,155.308,38.605699,36.971115,178.351615,46.150983
3,31,10.06855,4.865126,2.114411,26.340889,0.995958,151.54278,38.419126,36.778445,178.470896,44.035335
3,32,10.263564,5.27712,1.971311,26.691109,0.94145,149.860443,37.004712,36.904904,178.937198,44.024005
3,33,9.722041,5.335569,1.751265,26.899802,1.020253,148.637861,37.178195,36.899442,179.105306,43.888002
3,34,9.397775,4.933827,1.783883,26.558185,0.972444,144.672772,36.703579,36.904134,180.73729,44.671813
3,35,10.354931,5.314207,2.022991,26.900812,1.046836,144.96854,38.451612,36.644312,179.973201,44.261521
3,36,9.662205,4.79984,2.159926,26.772885,1.028346,143.208556,37.693066,37.036349,180.146823,47.106547
3,37,9.931363,4.790792,1.922117,27.113399,1.090597,139.756689,38.488561,37.219157,179.703719,45.165156
3,38,9.657218,4.686765,2.097691,26.84327,1.009395,139.675614,38.649085,36.855464,180.79957,44.994473
3,39,10.322424,5.415334,1.940882,27.272925,0.978689,137.636976,38.191638,37.039124,179.712173,45.723035
3,40,10.17925,5.031445,2.008758,27.615091,1.021246,135.089424,38.584298,37.171642,178.443077,44.738987
3,41,10.233882,4.601379,2.004469,27.16403,0.946411,134.132598,39.694715,36.960056,179.781323,44.850283
3,42,9.718595,5.153662,1.991776,27.437541,1.038685,132.351958,39.338634,36.926345,178.01651,44.904296
3,43,10.205231,5.182833,1.8944,27.409846,1.042251,132.288493,38.095653,37.272134,180.513039,43.224315
3,44,10.189712,4.7262,1.90982,27.210812,1.049315,132.229272,39.53093,36.853341,182.156175,45.051629
3,45,10.248262,5.108106,1.904199,27.400285,0.976526,130.187643,39.566891,36.997714,180.101936,46.377797
3,46,9.582605,5.300677,1.984162,27.155225,0.987069,132.079448,39.683951,37.047406,178.932684,45.67667
3,47,10.472205,4.997944,1.9755,27.158316,1.01352,131.229732,39.863483,37.000721,179.740826,45.799345
3,48,9.719945,4.952943,2.149976,27.257755,0.987165,130.85771,39.934756,36.861244,180.286811,45.729712
3,49,10.038315,5.042158,1.985836,27.615761,0.941004,129.336368,39.294729,37.092796,181.196212,45.463528
3,50,9.976007,5.048802,2.042525,27.520266,0.935799,131.852998,39.746974,37.056412,180.01864,45.772056
3,51,9.680315,5.074168,2.10975,27.405191,0.989064,132.197047,39.789511,36.881031,179.418354,43.342672
3,52,9.966212,4.998644,2.100777,28.27426,1.110553,134.211196,40.119421,36.888776,177.504715,45.627533
3,53,9.752406,5.245118,2.029355,27.553258,0.952981,134.774327,40.108967,36.797672,180.210322,44.45856
3,54,10.023413,4.541918,1.973998,27.788174,1.069686,135.0936,38.877597,36.954703,179.984856,44.542422
3,55,10.175558,5.250376,1.95887,28.601852,0.957225,136.821809,40.461468,37.016643,179.055913,45.253263
3,56,10.499708,5.05629,2.031164,27.180349,1.049882,136.349788,39.760501,36.717808,180.36448,46.688249
3,57,10.15419,5.234686,1.901309,28.233841,1.122617,140.736196,40.625438,37.387442,180.31994,44.073335
3,58,9.747888,4.951143,2.050909,27.980132,1.01509,140.228652,41.064811,37.016479,180.757737,43.870178
3,59,10.253529,4.932504,2.021296,27.668426,0.966804,142.539343,40.786747,37.361904,178.916764,44.404477
4,0,10.315332,5.209078,2.049763,24.854687,0.904197,149.848394,35.327214,37.413263,181.791389,44.79625
4,1,10.278497,4.670192,2.178783,25.246472,0.936632,150.718708,34.430034,37.163167,180.493378,45.9459
4,2,9.640201,5.166871,2.072506,25.024328,1.026714,151.088678,35.162701,36.748915,179.438263,44.102248
4,3,9.557503,5.168943,2.051566,25.223702,1.06395,156.489212,35.272206,36.74047,177.806214,44.779191
4,4,9.614619,5.025019,2.118789,25.392256,0.955699,155.603949,33.850267,36.924603,179.417195,46.142485
4,5,10.391149,5.248007,1.919051,24.729927,1.026128,159.387361,35.806319,36.762822,180.336284,45.50345
4,6,9.897857,5.293996,2.106422,25.403612,0.986496,159.968447,34.723034,36.946103,179.998381,45.291723
4,7,10.464111,4.790178,1.943109,25.445667,0.918312,161.207574,35.564472,37.272891,180.597397,46.223116
4,8,7.906242,5.255595,2.019608,25.388418,1.008211,165.314296,35.652095,36.938422,181.283711,45.639229
4,9,10.165839,4.911616,2.094645,25.072945,1.062159,162.707794,34.71294,36.714122,181.316028,46.465968
4,10,9.57783,5.017654,2.007898,25.885744,1.046867,165.325899,35.311835,37.057707,179.569448,43.483254
4,11,9.844318,4.793734,2.027083,26.038464,0.952776,166.900868,36.158877,37.017884,180.382096,45.661021
4,12,10.547763,5.003663,2.027231,25.758368,1.05296,167.486879,35.638731,37.334459,179.415869,45.869199
4,13,9.689056,4.933008,2.008987,25.719732,1.079517,167.225995,36.582112,36.996025,179.668828,45.1385
4,14,9.892784,4.808672,1.933028,26.207,0.983835,167.914598,35.829446,36.657799,181.97281,44.37246
4,15,10.368418,4.876821,1.93434,26.163802,1.001703,168.132792,36.407297,36.839038,179.3169,45.848704
4,16,9.856148,5.230406,2.083904,26.037963,1.045893,169.892206,36.716734,36.918182,179.875589,44.698587
4,17,9.931579,4.618636,1.874815,25.805252,0.959698,168.488523,35.822751,36.648042,179.956515,46.946392
4,18,10.178025,5.046777,1.97314,25.924905,1.039064,169.874121,36.207535,37.399939,178.860619,46.556711
4,19,10.155816,4.978002,1.939312,26.471383,0.982729,167.653966,36.608851,36.921791,180.269693,45.668293
4,20,9.742114,5.045436,2.096042,26.32784,1.021517,166.821766,36.688685,37.160899,179.73418,47.28519
4,21,9.921863,5.153722,1.944204,25.734884,0.956237,166.389773,37.006064,36.980223,179.646593,45.425904
4,22,10.383943,5.071141,2.069143,26.141707,0.930097,164.199283,36.928389,36.684367,179.768134,46.051927
4,23,10.05177,5.011507,1.966251,26.855021,1.023858,165.178556,37.216688,36.850228,179.751699,45.26884
4,24,10.122434,4.996984,2.036272,26.309806,1.031032,162.416937,36.898644,36.686206,178.01402,45.98915
4,25,9.495765,4.887208,1.853147,26.747195,1.050786,159.885016,37.798946,36.896783,179.233247,46.192116
4,26,10.257526,5.158326,2.131596,26.458096,1.094415,158.661395,37.066721,37.091913,180.838165,45.751071
4,27,9.986812,5.009072,1.959055,26.520151,0.928525,157.756679,37.201325,36.664638,179.677753,45.662233
4,28,10.153541,4.880275,1.965573,26.058531,0.998519,155.099756,37.011709,36.862747,180.21744,44.633089
4,29,10.235005,4.845226,1.877571,26.491795,1.036755,152.739007,37.600451,36.647573,180.464715,43.249382
4,30,9.877889,5.395262,2.087267,26.836047,1.006398,152.613572,38.539379,36.952688,179.885511,44.50533
4,31,9.97023,5.061394,2.060251,27.074885,0.98349,148.7542,38.329228,36.697489,179.914852,46.249941
4,32,10.870074,4.76646,1.952262,26.521152,0.973756,147.737857,38.508044,37.019031,179.989487,45.451256
4,33,10.128425,4.826774,2.05482,26.093125,1.045993,146.614628,38.133738,36.827377,179.229818,44.248111
4,34,10.40357,4.630055,2.047808,26.928602,1.061454,143.236029,37.611399,37.326689,181.645669,45.255369
4,35,10.485251,5.341488,2.024939,26.639188,1.034124,141.020903,38.439599,37.22818,179.075026,44.476264
4,36,10.005321,4.844355,1.976424,27.023774,1.017332,141.888584,37.74576,36.958934,180.062971,45.786415
4,37,9.935852,4.845122,1.963237,26.987659,1.096573,138.998588,38.693261,37.02202,179.981356,45.782097
4,38,9.926581,4.919049,1.980702,26.977133,0.967065,138.116944,39.393451,36.98086,177.779876,46.999603
4,39,10.162974,4.816763,1.913929,27.338234,1.049542,134.817491,38.730678,36.721599,179.762005,45.412188
4,40,9.519781,5.12895,2.090538,27.077407,1.037248,135.79092,38.528368,37.133011,179.348011,43.765421
4,41,10.178151,5.030799,2.195345,27.295856,0.99158,132.44039,38.63255,36.736779,179.788075,44.967792
4,42,10.4719,5.259733,2.060114,27.480499,1.031215,132.298117,38.454213,37.037004,178.359859,46.06215
4,43,10.058847,4.748405,1.848972,26.888814,1.08539,131.305778,39.092334,36.849954,180.268341,45.634106
4,44,9.782575,5.047351,2.054138,27.130021,0.975806,130.334953,38.580077,36.432874,181.561951,45.30009
4,45,9.617039,5.197074,1.943058,27.2834,0.976995,129.194691,38.906615,37.099141,179.913728,44.935358
4,46,10.210747,4.849425,1.999833,27.38637,1.022428,130.345681,40.158443,37.218269,178.580814,44.283972
4,47,10.042951,4.886974,1.97728,27.725329,1.009514,129.829616,39.792174,37.15541,180.571749,46.248167
4,48,10.046437,4.83576,2.065174,26.130541,0.987189,127.229945,39.835936,36.600633,180.380933,45.945397
4,49,10.628653,5.140519,2.128923,27.606334,0.941838,128.042155,39.956258,36.838852,181.485132,45.065419
4,50,9.964326,5.229373,1.607132,27.262832,0.960499,129.79658,39.99469,36.892401,179.678141,44.478579
4,51,9.883015,5.046898,2.105005,27.834317,0.977001,130.511024,40.60258,36.984039,179.547699,45.240383
4,52,10.273162,5.123598,2.051308,27.661443,1.051632,131.095726,39.517081,37.019246,178.799305,45.687393
4,53,10.029151,5.017646,1.925248,27.637222,1.001794,132.104692,39.861317,36.902437,179.328056,45.230827
4,54,10.075934,5.122562,1.996266,27.761746,0.992406,131.432354,39.798723,36.867305,180.529615,46.761292
4,55,10.161575,5.117904,1.9643,27.283721,0.997834,135.297652,39.879025,36.965688,180.158931,43.816721
4,56,10.330019,4.757251,1.859778,27.578449,1.010028,135.054239,40.231701,36.799025,178.361949,44.249197
4,57,10.558608,5.142553,1.90549,27.780865,1.040349,138.572216,40.372764,37.137339,178.284768,46.39822
4,58,10.346927,4.97125,2.110489,28.17371,1.053561,140.726191,41.113262,36.953334,178.963756,44.70519
4,59,10.370717,4.813848,1.980316,28.260142,1.010859,139.442347,40.916507,37.17769,179.319324,45.323192
5,0,10.338746,5.273933,2.027755,24.881478,1.01562,154.561423,34.35357,36.812638,180.736725,44.23598
5,1,9.808625,4.967771,1.654838,24.66458,0.969098,153.739407,34.734867,37.03365,181.573575,45.796927
5,2,9.653636,5.222956,2.072997,25.341131,1.002574,155.833867,35.722622,37.430986,178.763529,44.869191
5,3,9.319813,4.888368,1.993972,25.336048,1.068345,160.475294,34.514989,37.046605,180.473781,44.428834
5,4,9.711507,5.01865,2.153802,25.437391,1.05537,159.445092,35.022447,36.891083,179.792618,46.631746
5,5,10.190892,5.064989,1.915202,25.452705,0.932848,161.228621,35.462859,36.918818,179.176711,43.834326
5,6,9.916989,5.11516,2.080936,25.353459,0.932608,164.044862,35.855232,37.046927,180.431954,43.785051
5,7,10.117586,5.351953,1.991592,25.286004,0.994726,162.668769,35.208185,36.8584,178.194532,45.91138
5,8,9.722596,5.097538,1.901088,25.497206,0.9575,167.695821,35.447061,37.068558,179.222033,44.388387
5,9,10.153175,5.020637,2.015594,25.544222,0.976189,167.927473,35.188995,37.105374,179.368535,42.49228
5,10,9.848451,5.18633,2.171802,25.924117,0.984012,168.616038,35.718214,36.629005,180.182178,44.092889
5,11,10.149783,4.749191,2.091656,25.585549,1.005686,171.306037,36.877994,37.185931,181.468606,45.008148
5,12,10.145778,4.798868,1.889125,25.706203,0.988253,170.968176,36.857285,37.105209,182.58619,45.021639
5,13,10.0074,5.022022,2.181156,25.69247,1.045811,170.922849,37.33148,37.125248,179.986958,44.220781
5,14,9.618109,5.230816,2.105624,26.029123,1.063731,172.267331,36.737966,37.311904,181.114829,42.19105
